Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
2,6,7/19/18,41,30,,293,1,V,KCH,BHC,,,
2,6,7/19/18,41,30,,293,2,V,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,293,0,M,KCH,NSW,,,
3,6,7/19/18,41,33.5,,293,1,M,KCH,BHC,,,
3,6,7/19/18,41,33.5,,293,2,V,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,293,0,V,KCH,NSW,,,
4,6,7/19/18,41,34,,293,1,V,KCH,BHC,,,
4,6,7/19/18,41,34,,293,2,V,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,293,0,N,KCH,NSW,,,
5,6,7/19/18,41,34.5,,293,1,M,KCH,BHC,,,
5,6,7/19/18,41,34.5,,293,2,M,KCH,NSW,BHC,,
1,6,7/19/18,41,30,,294,0,V,KCH,NSW,,,
1,6,7/19/18,41,30,,294,1,V,KCH,NSW,,,
1,6,7/19/18,41,30,,294,2,V,KCH,NSW,BHC,,
2,6,7/19/18,41,30,,294,0,V,KCH,NSW,,,
2,6,7/19/18,41,30,,294,1,N,KCH,BHC,,,
2,6,7/19/18,41,30,,294,2,N,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,294,0,V,KCH,NSW,,,
3,6,7/19/18,41,33.5,,294,1,V,KCH,BHC,,,
3,6,7/19/18,41,33.5,,294,2,V,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,294,0,V,KCH,NSW,,,
4,6,7/19/18,41,34,,294,1,V,KCH,BHC,,,
4,6,7/19/18,41,34,,294,2,M,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,294,0,M,KCH,NSW,,,
5,6,7/19/18,41,34.5,,294,1,S,KCH,BHC,,,
5,6,7/19/18,41,34.5,,294,2,S,KCH,NSW,BHC,,
1,6,7/19/18,41,30,,295,0,V,KCH,NSW,,,
1,6,7/19/18,41,30,,295,1,N,KCH,NSW,,,
1,6,7/19/18,41,30,,295,2,V,KCH,NSW,BHC,,
2,6,7/19/18,41,30,,295,0,V,KCH,NSW,,,
2,6,7/19/18,41,30,,295,1,N,KCH,BHC,,,
2,6,7/19/18,41,30,,295,2,N,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,295,0,N,KCH,NSW,,,
3,6,7/19/18,41,33.5,,295,1,N,KCH,BHC,,,
3,6,7/19/18,41,33.5,,295,2,N,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,295,0,V,KCH,NSW,,,
4,6,7/19/18,41,34,,295,1,V/M,KCH,BHC,,,
4,6,7/19/18,41,34,,295,2,M,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,295,0,V,KCH,NSW,,,
5,6,7/19/18,41,34.5,,295,1,T,KCH,BHC,,,
5,6,7/19/18,41,34.5,,295,2,T,KCH,NSW,BHC,,
